SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	BUSCO_Complete	BUSCO_Single	BUSCO_Single	BUSCO_Single	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes
F14946G	41	28176041	505	4888499	956	687220.51	4	3673757	7	2103543	NA	NA	NA	NA	NA	NA	NA
F15390	193	28244264	500	4740905	792	146343.34	4	3808156	7	1898053	NA	NA	NA	NA	NA	NA	NA
F15767	240	28731292	500	4804642	787	119713.72	4	3748749	7	1968043	NA	NA	NA	NA	NA	NA	NA
F15927	59	27416089	505	5232650	840	464679.47	4	3519820	7	1965707	NA	NA	NA	NA	NA	NA	NA
F16134	123	27968945	505	4792359	953	227389.80	4	3750096	7	1995134	NA	NA	NA	NA	NA	NA	NA
F16216	99	28054950	502	4944568	784	283383.33	4	3874383	7	1751780	NA	NA	NA	NA	NA	NA	NA
F16311	58	28275431	502	5110193	892	487507.43	4	3673062	7	1968223	NA	NA	NA	NA	NA	NA	NA
F17582	69	28193777	504	5192085	807	408605.46	4	3663659	7	1796715	NA	NA	NA	NA	NA	NA	NA
F17729	49	28154149	509	5066498	946	574574.47	4	3909527	7	1662371	NA	NA	NA	NA	NA	NA	NA
F17729W	66	28124514	506	5091686	860	426129.00	4	3744046	7	1691608	NA	NA	NA	NA	NA	NA	NA
F17764	111	27780154	502	4984981	832	250271.66	4	3742415	7	1715871	NA	NA	NA	NA	NA	NA	NA
F17999	516	27348866	501	4691987	799	53001.68	4	3588392	7	1768813	NA	NA	NA	NA	NA	NA	NA
F18085	63	28261572	505	4914445	907	448596.38	4	3707967	7	1923987	NA	NA	NA	NA	NA	NA	NA
F18149-JCVI	157	28170601	508	4875684	898	179430.58	4	3986455	7	2010304	NA	NA	NA	NA	NA	NA	NA
F18149-Manchester	258	28899475	503	4853782	763	112013.47	4	3796358	7	1984623	NA	NA	NA	NA	NA	NA	NA
F18304	471	28690079	501	4852537	686	60913.12	4	3807306	7	1837389	NA	NA	NA	NA	NA	NA	NA
F18329	82	27947208	506	4797381	763	340819.61	4	3721297	7	1704675	NA	NA	NA	NA	NA	NA	NA
F18454	307	27265632	501	4654688	824	88813.13	4	3653036	7	1763715	NA	NA	NA	NA	NA	NA	NA
F20063	293	28053738	500	4774433	729	95746.55	4	3752228	7	1790743	NA	NA	NA	NA	NA	NA	NA
F20140	59	27978606	500	5303951	915	474213.66	4	3813667	7	1685952	NA	NA	NA	NA	NA	NA	NA
F20451	886	28748456	500	4812524	757	32447.47	4	3722029	7	1908336	NA	NA	NA	NA	NA	NA	NA
F21572	86	28429019	502	4938635	816	330569.99	4	3861365	7	1871885	NA	NA	NA	NA	NA	NA	NA
F21732	79	28244760	501	4623311	787	357528.61	4	3766729	7	1967492	NA	NA	NA	NA	NA	NA	NA
F21857	83	27965738	501	4782816	798	336936.60	4	3750918	7	2041749	NA	NA	NA	NA	NA	NA	NA
F4S1B	292	27601189	501	4584187	731	94524.62	4	3730846	7	1710151	NA	NA	NA	NA	NA	NA	NA
F5211G	52	28616243	2	5020801	993	550312.37	4	3727548	7	2163515	NA	NA	NA	NA	NA	NA	NA
F7763	45	28430247	505	4988398	768	631783.27	4	3893854	7	1831755	NA	NA	NA	NA	NA	NA	NA
ICMP-23421	34	28969770	506	5029718	866	852052.06	4	3892504	7	1987862	NA	NA	NA	NA	NA	NA	NA
IFM_55369	212	28023368	500	4583396	705	132185.70	4	3878264	7	1893843	NA	NA	NA	NA	NA	NA	NA
IFM_58026	186	27840439	500	4645393	708	149679.78	4	3803721	7	1862736	NA	NA	NA	NA	NA	NA	NA
IFM_58029	222	27970463	505	4918395	780	125993.08	4	3795912	7	1741568	NA	NA	NA	NA	NA	NA	NA
IFM_58401	249	27802424	502	4809851	759	111656.32	4	3776798	7	1652603	NA	NA	NA	NA	NA	NA	NA
IFM_59056	156	27952126	500	4652810	770	179180.29	4	3823398	7	1727662	NA	NA	NA	NA	NA	NA	NA
IFM_59073	185	28156728	501	4704435	687	152198.53	4	3678321	7	1922234	NA	NA	NA	NA	NA	NA	NA
IFM_59355-1	47	28446741	513	4586931	913	605249.81	4	3867451	7	1994854	NA	NA	NA	NA	NA	NA	NA
IFM_59355-2	48	28443821	513	4614082	825	592579.60	4	3708073	7	2267628	NA	NA	NA	NA	NA	NA	NA
IFM_59356-1	38	28439297	500	4595453	826	748402.55	4	3913194	7	1997846	NA	NA	NA	NA	NA	NA	NA
IFM_59356-2	335	28466005	502	4776222	821	84973.15	4	3857947	7	1851738	NA	NA	NA	NA	NA	NA	NA
IFM_59356-3	300	28052277	500	4734411	761	93507.59	4	3887526	7	1774877	NA	NA	NA	NA	NA	NA	NA
IFM_59359	1316	28633232	500	4695565	695	21757.78	4	3802325	8	1753279	NA	NA	NA	NA	NA	NA	NA
IFM_59361	507	29056606	500	4690829	775	57310.86	4	3921935	7	1976477	NA	NA	NA	NA	NA	NA	NA
IFM_59361-1	355	28863959	502	4801035	867	81306.93	4	3787235	7	2061425	NA	NA	NA	NA	NA	NA	NA
IFM_59361-2	333	29194806	500	5046744	872	87672.09	4	4061250	7	2075190	NA	NA	NA	NA	NA	NA	NA
IFM_59365	2	8990	1044	7946	7946	4495.00	1	7946	2	1044	NA	NA	NA	NA	NA	NA	NA
IFM_59777	418	28789586	500	4652420	758	68874.61	4	3719287	7	2058351	NA	NA	NA	NA	NA	NA	NA
IFM_60237	377	29386321	501	4770985	860	77947.80	4	3967416	7	1909675	NA	NA	NA	NA	NA	NA	NA
IFM_60514	153	27830998	500	4777485	694	181901.95	4	3806368	7	1793342	NA	NA	NA	NA	NA	NA	NA
IFM_61118	255	27987709	500	4677744	723	109755.72	4	3805619	7	1794587	NA	NA	NA	NA	NA	NA	NA
IFM_61407	1529	28502399	492	4664974	693	18641.20	4	3704728	8	1703845	NA	NA	NA	NA	NA	NA	NA
IFM_61578	299	27907336	500	4651241	676	93335.57	4	3767098	7	1918817	NA	NA	NA	NA	NA	NA	NA
IFM_61610	186	27994166	500	4905432	784	150506.27	4	3863813	7	1694975	NA	NA	NA	NA	NA	NA	NA
IFM_62115	1	7946	7946	7946	7946	7946.00	1	7946	1	7946	NA	NA	NA	NA	NA	NA	NA
IFM_62516	356	28119624	500	4828641	783	78987.71	4	3654493	7	1656792	NA	NA	NA	NA	NA	NA	NA
ISSF_21	30	28333737	1	4851521	957	944457.90	4	3955143	7	1749499	NA	NA	NA	NA	NA	NA	NA
JCM_10253	55	28156057	504	4764267	699	511928.31	4	3870312	7	1954634	NA	NA	NA	NA	NA	NA	NA
JN10	352	28453842	500	4784397	718	80834.78	4	3843041	7	1953831	NA	NA	NA	NA	NA	NA	NA
LMB-35Aa	93	27450942	503	4622225	843	295171.42	4	4047895	7	1531252	NA	NA	NA	NA	NA	NA	NA
M128	4066	29250809	498	4457745	719	7194.00	4	3648107	85	1595	NA	NA	NA	NA	NA	NA	NA
M5960-D	128	27996782	500	4883687	838	218724.86	4	3689495	7	1648485	NA	NA	NA	NA	NA	NA	NA
MO54056EXP	57	28694220	511	5031579	882	503407.37	4	3864889	7	1826198	NA	NA	NA	NA	NA	NA	NA
MO68507EXP	154	28649487	507	4974676	730	186035.63	4	3605401	7	2035026	NA	NA	NA	NA	NA	NA	NA
MO69250EXP	86	28436658	500	4768542	961	330658.81	4	3709397	7	1896822	NA	NA	NA	NA	NA	NA	NA
MO76959EXP	98	28452093	500	4883183	796	290327.48	4	3754431	7	1948661	NA	NA	NA	NA	NA	NA	NA
MO78722EXP	39	28493214	504	4778328	921	730595.23	4	3911807	7	1794702	NA	NA	NA	NA	NA	NA	NA
MO79587EXP	82	27723731	502	4985562	735	338094.28	4	3739544	7	1850726	NA	NA	NA	NA	NA	NA	NA
MO89263LAB	76	28414632	500	5200656	842	373876.74	4	3692528	7	1994873	NA	NA	NA	NA	NA	NA	NA
MO91298SB	68	27484763	510	4537989	699	404187.69	4	4009809	7	2048228	NA	NA	NA	NA	NA	NA	NA
Mg18-1	167	28344136	500	4777940	626	169725.37	4	3849793	7	1751015	NA	NA	NA	NA	NA	NA	NA
Moose-3_1_2	138	28501178	502	4924666	967	206530.28	4	3765695	7	2103576	NA	NA	NA	NA	NA	NA	NA
Moose_3-1.1	126	29886248	502	5532665	9830	237192.44	4	3313217	15	228116	NA	NA	NA	NA	NA	NA	NA
NCPF-7811	503	28561139	500	4926042	762	56781.59	4	3748363	7	1975689	NA	NA	NA	NA	NA	NA	NA
NCPF-7816	630	28660652	500	4910585	730	45493.10	4	3775724	7	1848447	NA	NA	NA	NA	NA	NA	NA
NCPF-7820	622	30657886	500	4851220	868	49289.21	4	3712586	8	1648385	NA	NA	NA	NA	NA	NA	NA
NCPF-7822	330	27792015	500	4833528	744	84218.23	4	3727219	7	1683943	NA	NA	NA	NA	NA	NA	NA
Oryx-1	34	27988214	521	4481383	1082	823182.76	4	3879653	7	1745662	NA	NA	NA	NA	NA	NA	NA
RSF2S8	59	28607139	502	4845704	954	484866.76	4	3944186	7	1863948	NA	NA	NA	NA	NA	NA	NA
SF1S5	52	28229929	508	5213595	876	542883.25	4	3856446	7	1647059	NA	NA	NA	NA	NA	NA	NA
SF1S6	50	28453001	510	4644669	756	569060.02	4	3772324	7	2082679	NA	NA	NA	NA	NA	NA	NA
SF2S6	54	28310454	501	4743245	883	524267.67	4	3967091	7	1686568	NA	NA	NA	NA	NA	NA	NA
SF2S9	134	27965357	503	4611523	750	208696.69	4	3864244	7	1737983	NA	NA	NA	NA	NA	NA	NA
SF3S1	42	28022690	509	4701255	978	667206.90	4	3772485	7	1728927	NA	NA	NA	NA	NA	NA	NA
SF3S10	47	28037837	509	4925446	890	596549.72	4	4056991	7	1685523	NA	NA	NA	NA	NA	NA	NA
SF4S10	42	28570897	507	4775626	1448	680259.45	4	3974499	7	1727435	NA	NA	NA	NA	NA	NA	NA
TP12	2031	30810343	500	5095602	690	15170.04	4	3779845	8	1781474	NA	NA	NA	NA	NA	NA	NA
TP32	96	27914795	506	4818738	860	290779.11	4	3677193	7	1890394	NA	NA	NA	NA	NA	NA	NA
W72310	333	28201861	500	4692825	1134	84690.27	4	3855880	7	1825582	NA	NA	NA	NA	NA	NA	NA
akuBKU80	4506	35893846	500	4887313	1140	7965.79	5	3853384	1020	1945	NA	NA	NA	NA	NA	NA	NA
histone_RFP	534	29491840	500	4823733	896	55228.16	4	3887825	7	1955646	NA	NA	NA	NA	NA	NA	NA
